ID,lat,lng,mag,obsvTime,hypoCentDist,regionID
7128,33.39775,-117.03004,0.44465929541653,16.707026150795,102.87981748375,4
7128,33.39775,-117.03004,0.088931859083307,13.872416946187,102.87981748375,4
7129,33.62061,-116.08303,0.28683979785204,23.545499608325,174.03016783547,4
7129,33.62061,-116.08303,0.057367959570407,17.820727256539,174.03016783547,4
7130,33.43973,-116.88003,0.41793408535817,17.736258861557,112.86034147084,4
7130,33.43973,-116.88003,0.083586817071635,14.466662160253,112.86034147084,4
7131,33.55005,-117.01728,0.30110711902516,18.126606797875,118.97913195867,4
7131,33.55005,-117.01728,0.060221423805033,14.692036257434,118.97913195867,4
7132,33.59414,-116.3172,0.30093220784862,20.266925640629,156.80467335724,4
7132,33.59414,-116.3172,0.060186441569724,15.927786166645,156.80467335724,4
7133,32.9631,-115.45979,0.2278414403312,22.704170983361,190.82847827393,4
7133,32.9631,-115.45979,0.045568288066239,17.3349716994,190.82847827393,4
7134,33.56186,-116.03993,0.26402002054797,21.223544870999,172.65510404914,4
7134,33.56186,-116.03993,0.052804004109594,16.480106738452,172.65510404914,4
7135,32.6841,-115.48159,0.27706651948403,22.609519288667,184.0323960592,4
7135,32.6841,-115.48159,0.055413303896805,17.280322914935,184.0323960592,4
7136,33.6501,-116.70143,0.3047314771277,18.626510756713,141.08296435644,4
7136,33.6501,-116.70143,0.06094629542554,14.980664409188,141.08296435644,4
7137,33.7435,-116.47041,0.29553627540434,21.667466121948,161.0686518436,4
7137,33.7435,-116.47041,0.059107255080868,16.736412310593,161.0686518436,4
7138,33.62109,-116.66012,0.31538553458058,18.522978834631,140.23812975859,4
7138,33.62109,-116.66012,0.063077106916115,14.920888472651,140.23812975859,4
7139,32.71712,-115.53291,0.30117906718858,23.136379014998,179.58197335837,4
7139,32.71712,-115.53291,0.060235813437717,17.58451444284,179.58197335837,4
7140,33.68912,-116.57637,0.28994063505803,20.983715027017,150.68832724483,4
7140,33.68912,-116.57637,0.057988127011606,16.341636851626,150.68832724483,4
7141,33.71889,-116.36099,0.34162431062003,21.38732206866,164.79252160917,4
7141,33.71889,-116.36099,0.068324862124006,16.574666321397,164.79252160917,4
7142,33.29392,-115.60215,0.23390673786592,21.695658325537,190.58493720138,4
